Ticker,Last Price,Last Price (1 Week),Last Price (1 Year),Last Price,Mkt Cap,Revenue,PM,Ind Group,Ind Sector,BEst EPS,52W High,52W Low,Dividend Per Share Ind Annual - Net,Dvd P/O,Ticker,ROE,BEst NAV,Beta,SA ESG Risk Score,SA ESG Risk Percentile Universe,StandrdAndPoor Glbl ESG Rnk,ESG Disc Score,Env Disc Sc,Gov Disc Sc,Soc Disc Sc,MSCI ESG Rating,ESG Scr,Number of Employees,Volatil 30D,Volatil 60D,Volatility 180 Day,Volatil 360D,Tot Assets,Net Debt,Total Liab,Debt/MC
ACCENTURE PLC-A,333.31,333.31,333.31,333.31,2.2178E+11,64111.745,10.71809385,Computers,Technology,3.113,335.28,242.86,5.16,41.18426144,ACN,28.75192452,26413.75,1.179035783,9.83540781,2.7,92,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.19,733000,18.30443988,21.18882943,22.33394121,26.91652546,51245.305,-5900.573,24786.712,0.014198904
ADOBE INC,621.7,621.7,621.7,621.7,2.83106E+11,17606,27.01351812,Software,Technology,4.139,624.26,318.6,#N/A Field Not Applicable,0,ADBE,33.971276,16829.692,1.490273356,12.89234906,6.59,99,66.06981189,66.23376623,91.24021674,40.62877872,AAA,6.04,29239,29.48366286,30.05655515,31.97102648,38.2342073,27165,-1463,13114,0.014468103
ANALOG DEVICES,182.58,182.58,182.58,182.58,90587606702,12305.539,26.93566694,Semiconductors,Technology,1.723,200.06,155,3.44,50.65819822,ADI,9.203272311,35220.25,1.049497008,19.9289125,28.12,89,62.08630922,48.23316219,97.50150512,40.38694075,BBB,4.63,26000,27.73461594,23.41043405,26.29705534,30.18280782,48794.478,6415.877,13229.356,0.081401179
ARCHER-DANIELS,74.22,74.22,74.22,74.22,39539552433,101556,4.273504274,Agriculture,"Consumer, Non-cyclical",1.658,98.05,69.32,1.8,20.71889401,ADM,15.99593702,25558,0.740474582,31.78916176,75.3,94,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.67,40360,21.08188143,19.00902394,22.51806634,26.5331113,59774,9251,35158,0.240265744
AUTOMATIC DATA,230.27,230.27,230.27,230.27,94711152151,18012.2,18.9427166,Commercial Services,"Consumer, Non-cyclical",2.119,273.89,201.66,5.6,58.07804807,ADP,115.461293,3711.6,0.966402233,13.81574125,8.44,74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,3.78,63000,35.84856259,27.09625172,22.0783406,24.30774418,50971,1441.6,47461.9,0.039755614
AUTODESK INC,204.28,204.28,204.28,204.28,43641983109,5005,16.44355644,Software,Technology,1.97,232.12,179.89,#N/A Field Not Applicable,0,ADSK,76.80067002,1734.4,1.451986551,16.76360125,16.57,98,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,5.55,13700,32.11017601,28.02324911,27.91413941,37.77191408,9438,492,8293,0.06067552
AMEREN CORP,76.79,76.79,76.79,76.79,20129241724,7957,13.49754933,Electric,Utilities,0.641,92.43,69.71,2.52,56.79702048,AEE,10.89248729,12261,0.74127239,27.16542981,58.05,59,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,5.49,9244,20.53833521,22.81172273,20.66314917,22.42119658,37904,14845,27267,0.795757745
AMERICAN ELECTRI,77.97,77.97,77.97,77.97,40111606786,19639.5,11.74775325,Electric,Utilities,1.244,100.32,69.4,3.52,71.30721221,AEP,9.072649152,25431.5,0.661188662,23.58444563,43.02,68,71.99476914,62.06584114,93.73871162,60.09673519,A,4.84,16974,23.32423041,24.56447263,21.62568687,23.26707771,93403.3,40835.2,69235,1.068314222
AES CORP,16.865,16.865,16.865,16.865,11273204804,12617,-4.32749465,Electric,Utilities,0.636,29.87,11.44,0.6636,#N/A N/A,AES,-24.82269504,2400,1.078004241,26.86508438,56.89,90,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,5.67,9100,44.01513901,45.29468046,36.00869518,35.00098614,38363,21969,32538,2.367649702
AFLAC INC,82.58,82.58,82.58,82.58,48228872239,19502,21.54138037,Insurance,Financial,1.453,82.72,60.2,2,24.17771007,AFL,19.54678456,22717,0.906355679,18.32718438,21.84,81,46.46413842,33.01117487,93.73871162,12.45465538,BBB,2.54,12882,18.96678799,15.9187043,19.74549411,21.3427347,131017,3499,108652,0.147028111
AMERICAN INTERNA,65.02,65.02,65.02,65.02,45604540681,56437,18.20791325,Insurance,Financial,1.685,65.29,45.67,1.44,9.582357533,AIG,9.613385727,61513,0.948230445,25.90843594,53.25,67,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,2.86,26200,23.91318933,20.00254474,28.67037401,28.37030439,526634,26236,484399,0.527469406
ASSURANT INC,163.9,163.9,163.9,163.9,8610662213,10193,2.713626999,Insurance,Financial,3.621,167.7,104.54,2.88,54.3022415,AIZ,12.29640841,5531.5,0.768292427,24.00894688,45.09,69,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,2.43,13700,39.19183902,29.14079927,29.80363367,30.80009033,33123.8,609.1,28895.1,0.24156098
ARTHUR J GALLAGH,250.81,250.81,250.81,250.81,54113176000,8550.6,13.03066451,Insurance,Financial,1.899,250.8,174.52,2.2,38.50403877,AJG,11.94707233,10696,0.889322281,21.15865313,32.89,64,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,#N/A Field Not Applicable,44000,16.56390292,15.36565412,17.36145681,20.64333358,38907.8,5913.3,29717.6,0.125113706
AKAMAI TECHNOLOG,113.91,113.91,113.91,113.91,17182732227,3616.654,14.47946085,Software,Technology,1.597,114.15,70.65,#N/A Field Not Applicable,0,AKAM,12.04166505,4358.3,1.007546186,15.05668688,11.53,93,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,4.11,9800,17.12376306,15.26693773,22.28851236,26.64196553,8303.4,1748.77,3943.213,0.262012172
ALBEMARLE CORP,126.24,126.24,126.24,126.24,14821718254,7320.104,36.74559815,Chemicals,Basic Materials,1.632,293,112,1.6,6.79255384,ALB,39.97006455,10457.167,1.441885352,26.81473588,56.72,93,73.12141636,69.40501359,93.73871162,56.13663845,BBB,5.75,7400,63.58938712,52.77791353,45.97410509,47.68726025,15456.522,2269.953,7265.675,0.257564605
ALIGN TECHNOLOGY,218.32,218.32,218.32,218.32,16720935368,3734.635,9.681615472,Healthcare-Products,"Consumer, Non-cyclical",2.205,412.42,176.44,#N/A N/A,0,ALGN,9.679572621,3880.25,1.602241278,19.133325,25.15,57,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,2.3,23165,94.21158571,70.61641502,53.72900501,59.15218282,5947.947,-914.654,2346.589,0.007583308
ALASKA AIR GROUP,37.03,37.03,37.03,37.03,4734122257,9646,0.601285507,Airlines,"Consumer, Cyclical",0.209,57.16,30.75,#N/A Field Not Applicable,0,ALK,6.541229953,4234.833,1.076926827,25.62608063,52.06,83,62.15672468,61.91482936,93.73871162,30.68319226,N.S.,6.19,22564,37.73838558,31.32373104,32.22741928,33.28334367,14186,1363,10370,0.871756109
ALLSTATE CORP,136.19,136.19,136.19,136.19,35576356351,51412,-2.54998833,Insurance,Financial,2.749,142.13,100.74,3.56,#N/A N/A,ALL,-14.79904934,12950.8,0.729142547,22.04158281,36.63,86,53.73704859,29.38689218,87.47742324,44.2261185,BBB,3.57,54000,26.48783354,23.95436608,28.21765684,30.32185285,97989,7571,80626,0.223350585
ALLEGION PLC,104.77,104.77,104.77,104.77,9197503290,3271.9,13.99798282,Electronics,Industrial,1.598,128.29,96.02,1.8,31.51091703,ALLE,55.06573095,1313,1.031036496,21.78077375,35.59,60,42.64158535,6.251887647,87.47742324,34.03869407,AA,3.51,12300,24.34512868,21.54077636,26.78206658,29.59993922,3991.2,1907.8,3046.7,0.234900704
APPLIED MATERIAL,149.59,149.59,149.59,149.59,1.25271E+11,26517,25.85511182,Semiconductors,Technology,1.915,157.75,93.68,1.28,14.22112019,AMAT,48.0397996,16430.818,1.454825044,12.70439719,6.16,85,63.91711095,49.22983993,100,42.38210399,AAA,6.53,34300,34.76074798,29.85366556,33.19179613,40.57627944,30729,-1308,14380,0.044391778
AMCOR PLC,9.27,9.27,9.27,9.27,13398331575,14694,7.132162788,Packaging&Containers,Industrial,0.151,12.775,8.45,0.5,68.98854962,AMCR,24.79529171,3985,0.814657271,17.607575,19.2,91,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,6.45,41000,23.40451268,24.40845737,22.8284068,24.31841092,17003,6630,12913,0.564100086
ADV MICRO DEVICE,122.63,122.63,122.63,122.63,1.98254E+11,23601,5.592983348,Semiconductors,Technology,0.774,132.8,60.05,#N/A Field Not Applicable,0,AMD,0.379867047,54978.929,1.505494237,15.00433,11.32,81,71.21013982,66.08275445,93.73871162,53.71825877,AA,6.24,25000,46.06238032,41.43873679,46.4478897,51.3250595,67580,-2982,12830,0.014436025
AMETEK INC,155.33,155.33,155.33,155.33,35852263378,6150.53,18.85271676,Electrical Compo&Equip,Industrial,1.615,164.5,131.52,1,17.43524599,AME,16.50909285,8575.8,0.95241946,23.35204063,42.04,72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,2.53,19600,20.32884053,17.620745,18.54688813,21.43241794,12431.12,2215.214,4954.608,0.064989007
AMGEN INC,264.42,264.42,264.42,264.42,1.41405E+11,26323,24.89077993,Biotechnology,"Consumer, Non-cyclical",4.598,289.5,211.74,8.52,65.07936508,AMGN,133.8049341,7217.286,0.642525315,21.96040813,36.29,99,65.21476713,55.69314407,93.73871162,46.10036276,AA,4.96,25200,23.94253438,23.76777639,21.85470191,21.75193173,65121,30335,61460,0.427623577
AMERIPRISE FINAN,350.06,350.06,350.06,350.06,35424738972,14347,17.83648149,Diversified Finan Serv,Financial,7.672,358,275.38,5.4,21.74677608,AMP,75.48715052,6786,1.21120131,20.26766188,29.33,81,43.23508701,14.16490486,87.47742324,27.90205562,A,4.03,13500,25.82684635,22.2764628,26.77318997,29.29670735,158468,-3758,154855,0.106084056
AMERICAN TOWER C,198.49,198.49,198.49,198.49,92477836109,10711.1,16.48570175,REITS,Financial,0.876,235.45,154.77,6.48,153.7716616,AMT,13.21485701,4200.6,1.018767238,10.9023,3.58,88,61.31173926,47.99154334,91.24021674,44.58887545,AA,4.34,6391,37.71099822,33.79869281,27.95927836,29.75021189,67194.5,45022.6,54786,0.506242382
AMAZON.COM INC,146.77,146.77,146.77,146.77,1.51662E+12,513983,-0.5295895,Internet,Communications,0.993,147.74,81.44,#N/A Field Not Applicable,#N/A N/A,AMZN,12.53128296,199360.1,1.286914229,30.609425,71.58,68,56.73473494,37.11869526,90.54786273,42.41233374,BBB,4.17,1541000,37.74848451,34.81658756,32.6750762,39.95330086,462675,84946,316632,0.101186035
ARISTA NETWORKS,217.35,217.35,217.35,217.35,67630059869,4381.31,30.86853019,Telecommunications,Communications,1.701,221.31,108.92,#N/A Field Not Applicable,0,ANET,34.90613568,6848.538,1.148233533,16.67424375,16.34,79,53.37491198,52.12926608,91.24021674,16.59613059,A,3.1,3612,56.68334502,43.51538203,50.52686396,45.36141123,6775.41,-2959.887,1889.59,0.000710394
ANSYS INC,298.965,298.965,298.965,298.965,25966280817,2065.553,25.35446924,Software,Technology,3.698,351.15,230.18,#N/A Field Not Applicable,0,ANSS,10.12717155,5316.714,1.247411728,15.89421,13.91,95,44.84458304,20.59800664,87.47742324,26.29987908,AA,4.35,5600,29.28742469,25.72129117,25.30504535,32.73570152,6687.945,274.605,1822.094,0.033754661
AON PLC-CLASS A,328.15,328.15,328.15,328.15,65700993612,12479,20.74685472,Insurance,Financial,4.084,347.355,281.06,2.46,17.88335265,AON,#N/A N/A,-323.743,0.886551619,15.23926875,12.04,68,47.48013278,27.6653579,91.24021674,23.36759371,BBB,#N/A Field Not Applicable,50000,21.14102424,17.37516936,18.73100073,21.11682101,32704,10535,33133,0.183741513
SMITH (A.O.)CORP,75.85,75.85,75.85,75.85,11281931668,3753.9,6.278803378,Miscellaneous Manufactur,Industrial,0.934,76.97,55.41,1.28,75.18031396,AOS,16.48394028,1854.5,1.028047681,26.62913438,55.95,44,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,3.13,12000,31.29868339,27.35810468,23.98566504,30.17390668,3332.3,-105,1584.6,0.014625155
APA CORP,36.4,36.4,36.4,36.4,11164586924,10961,33.51883952,Oil&Gas,Energy,1.653,48.55,30.67,1,6.777354382,APA,181.7640048,1389.25,0.907448649,45.99559609,96.48,71,55.52761292,30.47417699,93.73871162,42.23095526,A,5.15,2273,32.01852127,33.73133659,39.26261554,48.46779197,13147,5510,11802,0.51949974
AIR PRODS & CHEM,274.8,274.8,274.8,274.8,61062683105,12600,18.25555556,Chemicals,Basic Materials,3,328.37,251.8,7,66.56489881,APD,16.75498691,16034.6,0.86639744,12.46008563,5.77,97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,5.35,20700,45.76889822,34.66832332,26.59668687,27.47335771,32002.5,9082.4,16342.2,0.180660257
AMPHENOL CORP-A,90,90,90,90,53794072869,12623,15.07011012,Electronics,Industrial,0.765,90.37,72,0.88,25.36928981,APH,26.6307173,8133.667,1.009629488,19.5655075,26.82,92,60.76853435,69.22379946,68.18181818,44.86094317,A,4.54,91000,19.92286187,18.28460127,18.97427169,23.37924181,15326.2,3437.2,8232.1,0.079785742
APTIV PLC,81.73,81.73,81.73,81.73,23115494816,17489,3.396420607,Auto Parts&Equipment,"Consumer, Cyclical",1.295,124.86,71.01,#N/A Field Not Applicable,0,APTV,23.58087809,11268.857,1.289129019,10.65649375,3.31,94,56.83532844,51.4346119,93.73871162,25.18137848,AA,3.79,160000,48.98887058,40.19869748,33.4219153,40.53066911,21884,5430,12790,0.302567609
ALEXANDRIA REAL,104.1,104.1,104.1,104.1,18076122933,2588.962,20.14938806,REITS,Financial,0.616,172.54,90.86,4.96,148.6612218,ARE,1.303180648,22440,1.15016222,13.890175,8.59,92,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,BBB,4.81,593,49.5773615,41.90420215,34.35039117,32.59572552,35523.399,9741.269,12840.152,0.64581122
ATMOS ENERGY,112.64,112.64,112.64,112.64,16708782072,4275.357,20.72018781,Gas,Utilities,2.043,125.17,101,3.22,48.49041499,ATO,8.728633598,11101,0.756249189,32.04831691,76.17,24,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,2.48,5019,18.48589849,20.0671173,19.18518369,22.13085053,22516.968,7154.051,11646.904,0.429313098
AVALONBAY COMMUN,172.13,172.13,172.13,172.13,24422338811,2593.446,43.83260727,REITS,Financial,1.408,198.54,153.2,6.6,78.39634052,AVB,8.075228164,11740.75,0.852844059,9.70956906,2.59,85,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,5.34,2947,26.99662308,22.38130292,21.20085352,24.80035246,20457.764,7865.527,9201.526,0.331722734
BROADCOM INC,974.34,974.34,974.34,974.34,4.02236E+11,33203,34.62036563,Semiconductors,Technology,10.967,999.76,514.96,18.4,59.99287178,AVGO,70.6790674,23229.923,1.151202798,19.97994375,28.3,65,55.63826577,43.18936877,93.73871162,29.83675937,A,4.75,20000,31.73551102,31.92778767,32.57692338,32.90197671,73249,27562,50540,0.097805884
AVERY DENNISON,188.77,188.77,188.77,188.77,15202694661,9039.3,8.375648557,Household Products/Wares,"Consumer, Non-cyclical",2.165,195.87,158.93,3.24,31.57944789,AVY,23.71957061,2141.5,0.952476025,15.9683375,14.12,80,61.72417262,44.42766536,93.73871162,46.88633615,AA,4.87,36000,24.3832234,21.19299278,23.19324858,27.79587669,7950.5,3090.9,5918.3,0.21796136
AMERICAN WATER W,130.54,130.54,130.54,130.54,25395372759,3792,21.62447257,Water,Utilities,0.804,162.55,114.25,2.83,56.95121951,AWK,10.42197678,11156.333,0.97324723,21.61638625,34.83,76,65.36565738,44.21624887,93.73871162,58.04111245,AA,#N/A Field Not Applicable,6500,31.57145587,28.43362665,22.4082426,24.7860581,27787,12347,20094,0.483355772
AXON ENTERPRISE,227.57,227.57,227.57,227.57,17035457140,1189.935,12.36529726,Miscellaneous Manufactur,Industrial,0.873,231.52,162.77,#N/A Field Not Applicable,0,AXON,10.61832635,1597.25,1.303238869,40.58325379,92.46,71,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AA,2.93,2821,34.83080265,32.3302267,38.9589858,41.62079086,2851.894,-257.226,1583.403,0.041774283
AMERICAN EXPRESS,163.75,163.75,163.75,163.75,1.19296E+11,55625,13.50831461,Diversified Finan Serv,Financial,2.631,182.11,140.93,2.4,21.18918919,AXP,30.7974407,23355,1.165699244,18.60626563,22.93,85,56.34242028,39.65569314,93.73871162,35.48972189,AA,4.28,77300,26.04469018,22.71457653,25.12345906,28.28812666,228354,10007,203643,0.402864644
AUTOZONE INC,2675.29,2675.29,2675.29,2675.29,47175389687,17457.209,14.48356378,Retail,"Consumer, Cyclical",31.327,2750,2283,#N/A Field Not Applicable,0,AZO,#N/A N/A,-4448.6,0.848508775,10.96468,3.67,61,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,#N/A Field Not Applicable,71400,23.60074014,23.05363342,21.30103263,22.23927584,15985.878,10635.571,20335.772,0.23593804
BOEING CO/THE,219.24,219.24,219.24,219.24,1.32792E+11,66608,-7.409019938,Aerospace/Defense,Industrial,-0.88,243.02,171,#N/A Field Not Applicable,#N/A N/A,BA,#N/A N/A,-16035.833,1.098174691,39.29729156,91.22,90,62.03601247,56.53881003,93.73871162,35.70133011,BBB,4.51,156000,26.926313,24.87690271,27.48681088,34.1010596,137100,41362,152948,0.393636965
BANK OF AMERICA,29.6,29.6,29.6,29.6,2.34167E+11,115053,28.99210111,Banks,Financial,0.725,37.86,24.96,0.96,26.82214876,BAC,11.59466754,191971.571,1.098111987,28.29615,62.93,90,67.63907052,69.16339474,100,33.61547763,A,5.51,216823,32.76053744,27.14371874,27.86834027,28.74878059,3051375,91530,2778178,3.134843785
BALL CORP,53.55,53.55,53.55,53.55,16890759746,15349,4.684344257,Packaging&Containers,Industrial,0.779,62.12,42.81,0.8,35.20812239,BALL,16.39476877,4198,1.078495145,12.09933625,5.21,96,64.97334272,63.60616128,93.73871162,37.45465538,AA,3.83,21000,36.85229559,35.84497538,34.44819592,39.78511678,19909,8852,16382,0.595710326
BAXTER INTL INC,35.84,35.84,35.84,35.84,18167254857,15113,-16.09872295,Healthcare-Products,"Consumer, Non-cyclical",0.856,56.92,31.02,1.16,#N/A N/A,BAX,38.01701379,7974.2,0.830737889,23.566926,42.94,98,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,5.03,60000,23.79734068,36.55677752,31.18099473,34.82140048,28287,15495,22392,0.931841389
BATH & BODY WORK,29.63,29.63,29.63,29.63,6735019770,7560,10.58201058,Retail,"Consumer, Cyclical",1.853,49.54,27.345,0.8,23.4256927,BBWI,#N/A N/A,-1750.8,1.155251026,28.2978475,62.94,66,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,4.57,8800,53.61821247,44.07427118,40.79782754,50.47976941,5494,4821,7699,0.847658982
BEST BUY CO INC,67.65,67.65,67.65,67.65,14707986515,46298,3.064927211,Retail,"Consumer, Cyclical",2.515,93.3,62.36,3.68,55.602537,BBY,43.96210164,3081.714,1.161879063,15.88637,13.87,96,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,AAA,6.33,52200,30.30028337,25.8720526,26.55462596,34.65984873,15803,2120,13008,0.273932805
BECTON DICKINSON,236.65,236.65,236.65,236.65,68672099199,19372,7.660540987,Pharmaceuticals,"Consumer, Non-cyclical",2.4,286.43,228.95,3.8,70.88887619,BDX,5.855605621,26672.4,0.735049784,23.8246075,44.04,93,65.06387687,55.72334642,93.73871162,45.61668682,BBB,4.7,73000,31.65820091,25.03347426,21.08892823,22.27298885,52780,14455,26984,0.231229279
FRANKLIN RES INC,23.86,23.86,23.86,23.86,11795837582,7849.4,11.24671949,Diversified Finan Serv,Financial,0.508,34.36,21.89,1.2,72.34646787,BEN,7.366778531,12696,1.183842897,18.29660781,21.75,71,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,6,9200,33.13631591,28.35871338,26.24150928,32.24516218,30121.2,8066,16547.3,0.99631755
BROWN-FORMAN -B,59.51,59.51,59.51,59.51,28790261351,4228,18.51939451,Beverages,"Consumer, Non-cyclical",0.512,74.76,52.6,0.8712,48.22147382,BF/B,24.89829129,3454,0.820854604,22.2611275,37.48,53,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,A,5.09,5600,23.75692214,26.60317102,21.85699178,22.57254075,7777,2624,4509,0.106841684
BUNGE GLOBAL SA,109.32,109.32,109.32,109.32,17639398405,67232,2.394693003,Agriculture,"Consumer, Non-cyclical",2.852,116.58,87.9,2.65,22.48447205,BG,20.71112049,11134,0.597741365,#N/A N/A,#N/A N/A,#N/A N/A,58.65607082,54.87768046,93.73871162,27.20677146,AAA,#N/A Field Not Applicable,23000,20.32435253,21.93518373,30.63634084,31.80661153,24580,4400,14620,0.339807507
BIOGEN INC,230.87,230.87,230.87,230.87,33435239344,10173.4,29.94967268,Biotechnology,"Consumer, Non-cyclical",3.201,319.76,220.89,#N/A Field Not Applicable,0,BIIB,10.72514701,14406.5,0.672306955,22.24436563,37.41,100,59.38034403,50.25672002,93.73871162,34.00846433,AA,6.88,8725,29.44509298,23.48646816,21.59576353,38.16311009,24554.1,1112.7,11165.7,0.230750554
BIO-RAD LABS-A,308.97,308.97,308.97,308.97,8959871996,2802.249,-129.4508447,Biotechnology,"Consumer, Non-cyclical",2.86,509.17,261.6,#N/A Field Not Applicable,#N/A N/A,BIO,-1.888557916,#N/A N/A,1.174236894,17.3991375,18.52,89,50.28669148,49.62247055,74.89464178,26.23941959,BBB,2.75,8200,44.17395389,35.67279361,37.33978915,38.82766678,13501.666,-402.558,3886.414,0.156865187
BANK NY MELLON,47.185,47.185,47.185,47.185,36246423592,19991,15.71105819,Banks,Financial,1.076,52.25,39.66,1.68,49.32260796,BK,9.576639869,24045,0.961285591,20.92559844,31.78,96,62.15672468,48.23316219,100,38.08948005,AA,3.96,51700,21.27416876,19.7237558,26.54356323,26.93828923,405783,-67620,364933,1.828649379
BOOKING HOLDINGS,3135.63,3135.63,3135.63,3135.63,1.09402E+11,17090,17.89350497,Internet,Communications,29.284,3251.47,1902.48,#N/A Field Not Applicable,0,BKNG,#N/A N/A,-1336.755,1.155332446,19.23385938,25.56,58,44.80434564,28.4808215,84.97892836,20.7980653,A,3.96,21384,28.84606897,24.51150659,26.27434473,30.94436416,25361,-2023,22579,0.13085716
BAKER HUGHES CO,33.51,33.51,33.51,33.51,33728960093,21156,-2.840801664,Oil&Gas Services,Energy,0.487,37.57,26.12,0.8,#N/A N/A,BKR,11.47172892,15556.692,0.765208542,23.84485591,44.13,96,67.19645911,57.95832075,100,43.50060459,AA,4.6,55000,23.6433597,24.41779866,27.3285818,35.44231027,34181,4910,19656,0.19742678
BLACKROCK INC,727.69,727.69,727.69,727.69,1.08956E+11,17873,28.97107369,Diversified Finan Serv,Financial,8.73,781.39,596.8,20,57.74430282,BLK,14.21314439,38923.25,1.344780445,19.0729125,24.87,93,46.21265466,21.95711265,93.73871162,22.76299879,A,6.1,19800,26.98509991,22.98623153,21.80249298,29.35679591,117628,1073,78843,0.088696044
BRISTOL-MYER SQB,49.16,49.16,49.16,49.16,99906605132,46159,13.70696939,Pharmaceuticals,"Consumer, Non-cyclical",1.768,81.43,48.43,2.28,73.72688478,BMY,26.8692536,30413.286,0.544813216,22.74418859,39.37,87,59.56141233,47.47810329,100,31.04594921,A,5.26,34300,31.85770957,23.88810606,19.83389431,20.53821244,96820,31464,65702,0.393037076
